address,city,state,datetime,numrounds,shotspotterflexid,lat,long
340 N SAN PABLO AVE,Fresno,CA,03/04/2016 22:30:26,1,9937,36.7477102169,-119.794216312
315 E OLIVE AVE,Fresno,CA,03/11/2016 03:29:13,1,10026,36.7578598190,-119.808393727
102 N BOND ST,Fresno,CA,03/14/2016 20:38:37,7,10085,36.7562783052,-119.768214349
2420 E GRANT AVE,Fresno,CA,03/17/2016 01:13:19,6,10118,36.7490213720,-119.782001396
1230 N BOND ST,Fresno,CA,03/18/2016 00:01:44,5,10124,36.7581360434,-119.767585282
453 N VALERIA ST,Fresno,CA,03/19/2016 21:49:20,1,10154,36.7495653017,-119.785251964
500-516 N FULTON ST,Fresno,CA,03/20/2016 03:32:07,1,10158,36.7506291919,-119.800299212
1670-1698 VAN NESS AVE,Fresno,CA,03/22/2016 04:03:13,2,10184,36.7415104702,-119.796552577
3157 E NEVADA AVE,Fresno,CA,03/22/2016 02:36:19,8,10181,36.7463577281,-119.771363957
839 N CLARK ST,Fresno,CA,03/23/2016 22:58:28,5,10208,36.7536215904,-119.785553267
900-998 N THESTA ST,Fresno,CA,03/23/2016 22:23:49,2,10207,36.7549890889,-119.783473533
217 N ABBY ST,Fresno,CA,03/23/2016 00:38:22,14,10191,36.7454057198,-119.789435167
2025 E WHITE AVE,Fresno,CA,03/26/2016 23:10:20,11,10263,36.7519033713,-119.786804459
457 S CALLISCH AVE,Fresno,CA,03/29/2016 22:55:07,1,10309,36.7386937807,-119.775552542
826 N DIANA ST,Fresno,CA,03/30/2016 03:08:40,2,10314,36.7540455860,-119.787260883
501-535 N ROOSEVELT AVE,Fresno,CA,03/31/2016 20:19:25,4,10335,36.7505045642,-119.805215721
255 N ABBY ST,Fresno,CA,03/31/2016 20:05:09,1,10332,36.7462266196,-119.789585345
2003 E WHITE AVE,Fresno,CA,04/04/2016 21:18:40,2,10404,36.7519917694,-119.786865718
966 N SAFFORD AVE,Fresno,CA,04/04/2016 19:34:03,2,10403,36.7552137002,-119.809409713
2003 E WHITE AVE,Fresno,CA,04/04/2016 21:18:40,2,10404,36.7519917694,-119.786865718
605 N FIRST ST,Fresno,CA,04/07/2016 23:55:30,2,10490,36.7516214330,-119.772976720
1051-1099 E MILDREDA AVE,Fresno,CA,04/08/2016 05:07:58,1,10499,36.7473482944,-119.797996162
101-199 N DIAMOND ST,Fresno,CA,04/12/2016 22:08:11,1,10544,36.7445320102,-119.778536050
405 N EFFIE ST,Fresno,CA,04/15/2016 08:39:48,9,10572,36.7486887937,-119.788320196
1127 N 5TH ST,Fresno,CA,04/18/2016 00:20:20,6,10650,36.7570292547,-119.765804686
315 N DIANA ST,Fresno,CA,04/22/2016 21:37:17,1,10717,36.7472209736,-119.787072186
2814 E BELMONT AVE,Fresno,CA,04/23/2016 01:51:27,1,10731,36.7503642590,-119.778287842
452-458 N CLARK ST,Fresno,CA,04/23/2016 05:13:13,2,10732,36.7498750103,-119.785957511
2333 E THOMAS AVE,Fresno,CA,04/27/2016 22:29:00,3,10790,36.7530501672,-119.782718351
700-798 N DIANA ST,Fresno,CA,04/28/2016 15:56:30,3,10803,36.7533449648,-119.787296330
279 N ECHO AVE,Fresno,CA,04/29/2016 17:46:40,2,10812,36.7471840156,-119.804682038
101-199 E THOMAS AVE,Fresno,CA,04/30/2016 04:13:45,4,10832,36.7521861911,-119.810347669
3165 E NEVADA AVE,Fresno,CA,05/01/2016 01:06:38,5,10846,36.7460174162,-119.771110677
257 N U ST,Fresno,CA,05/01/2016 00:07:03,4,10844,36.7459530426,-119.780534604
150 E OLIVE AVE,Fresno,CA,05/02/2016 02:07:16,1,10857,36.7573449187,-119.809735191
3540 E GRANT AVE,Fresno,CA,05/02/2016 01:28:36,13,10856,36.7482088105,-119.764965597
