Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
,190101014,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"12 ROUNDS  
",S52,S52,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:25,1/1/2019 2:01,"401 HARBOUR WAY S, at VIRGINIA AVE, RICHMOND, CA, 94804",-122.360165,37.92662
,190101015,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,9 ROUNDS  IN HILLTOP PARK   ,1L8,1L8,1,,No,Yes,R23,UNABLE TO LOCATE,1/1/2019 0:28,1/1/2019 3:07,ROBERT  H  MILLER/BIRMINGHAM,,
,190101018,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,9  ROUNDS   IFO REAR HOUSING  FRONT  DOOR  ,1L6,1L6,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:29,1/1/2019 2:30,"400 20TH ST, RICHMOND, CA, 94801",-122.350318,37.937208
,190101019,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,8,10 ROUNDS   ON THE  ROOF  OF THIS  1020  ,1L8,1L8,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:30,1/1/2019 3:09,"3127 ERLA WAY, RICHMOND, CA, 94806",-122.333492,37.976299
,190101020,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"00:10  7 ROUNDS ,   IFO  THIS  1020 IN THE  DRIVE WAY ",3L9,3L9,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:32,1/1/2019 2:47,"1620 25TH ST, at BUSH AVE, RICHMOND, CA, 94806",-122.344414,37.955499
,190101022,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,5  ROUNDS  IFO THIS  1020 IN THE  STREET   ,S52,S52,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:33,1/1/2019 2:25,"441 S 23RD ST, RICHMOND, CA, 94804",-122.347993,37.925786
,190101023,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"
GUNFIRE: 5 Rounds at 401 19th S St, Richmond, CA; January 1st 2019 00:11:16; ShotSpotter ID 63-188228; Dot (37.9265778347, -122.35144452)",A8,A8,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:34,1/1/2019 2:26,"401 S 19TH ST, VIRGINIA AVE & CUTTING BLVD, RICHMOND, CA, 94804",-122.351394,37.926607
,190101024,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 12 Rounds at 1158 28th St, Richmond, CA; January 1st 2019 00:11:38; ShotSpotter ID 63-188232; Dot (37.9502630711, -122.340734173)",3L9,3L9,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:35,1/1/2019 2:42,"1158 28TH ST, RICHMOND, CA, 94804",-122.34274,37.951166
,190101025,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 9 Rounds at 160 18th St, Richmond, CA; January 1st 2019 00:11:47; ShotSpotter ID 63-188233; Dot (37.9336633544, -122.351981602)",1L6,1L6,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:36,1/1/2019 2:30,"160 18TH ST, CHANSLOR AVE & BISSELL AVE, RICHMOND, CA, 94801",-122.35223,37.933456
,190101027,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 10 Rounds at 403 Chanslor Ave, Richmond, CA; January 1st 2019 00:11:52; ShotSpotter ID 63-188234; Dot (37.9326952157, -122.365382767)",1L6,1L6,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:37,1/1/2019 2:23,"403 CHANSLOR, 4TH ST & 5TH ST, RICHMOND, CA, 94801",-122.36564,37.932545
,190101028,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 5 Rounds at 3415 Tulare Ave, Richmond, CA; January 1st 2019 00:12:01; ShotSpotter ID 63-188235; Dot (37.9515241864, -122.334090278)",4B12,"4B12, M51",2,,No,No,R22,SECURITY CHECK,1/1/2019 0:38,1/1/2019 2:54,"3415 TULARE AVE, at 34TH ST, RICHMOND, CA, 94804",-122.334447,37.951413
,190101030,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 8 Rounds at 4951 Hartnett Ave, Richmond, CA; January 1st 2019 00:13:39; ShotSpotter ID 63-188244; Dot (37.9176217135, -122.322602493); Mislocated*
",1L2,1L2,1,,No,No,R12,SERVICE RENDERED NO CRIME,1/1/2019 0:39,1/1/2019 3:56,"4951 HARTNETT, RICHMOND, CA, 94804",-122.323749,37.916432
,190101032,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 8 Rounds at 260 23rd S St, Richmond, CA; January 1st 2019 00:14:42; ShotSpotter ID 63-188252; Dot (37.9288220425, -122.34688191)",S52,S52,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:40,1/1/2019 2:06,"260 S 23RD ST, WELCOME AVE & MAINE AVE, RICHMOND, CA, 94804",-122.347531,37.928582
,190101033,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 8 Rounds at 431 36th S St, Richmond, CA; January 1st 2019 00:16:28; ShotSpotter ID 63-188261; Dot (37.9257340878, -122.335629456)",1L2,1L2,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 0:41,1/1/2019 4:02,"431 S 36TH ST, RICHMOND, CA, 94804",-122.335441,37.925839
,190101036,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 1 Round at 1813 Coalinga Ave, Richmond, CA; January 1st 2019 00:30:20; ShotSpotter ID 63-188320; Dot (37.9476438183, -122.351752658); Mislocated*",4B101,4B101,1,,No,No,R22,SECURITY CHECK,1/1/2019 0:44,1/1/2019 2:57,"1813 COALINGA, 18TH ST & 20TH ST, RICHMOND, CA, 94801",-122.351958,37.947502
,190101044,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 2 Rounds at 679 7th St, Richmond, CA; January 1st 2019 00:59:11; ShotSpotter ID 63-188371; Dot (37.9417563121, -122.362707913)
",E22,E22,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 1:00,1/1/2019 2:38,"679 7TH ST, RICHMOND, CA, 94801",-122.362852,37.941859
,190101046,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 2 Rounds at 679 7th St, Richmond, CA; January 1st 2019 00:59:11; ShotSpotter ID 63-188371; Dot (37.9417563121, -122.362707913)",,,0,190101044,No,No,,,1/1/2019 1:06,,"679 7TH ST, RICHMOND, CA, 94801",-122.362852,37.941859
,190101051,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 3 Rounds at 624 17th St, Richmond, CA; January 1st 2019 01:09:20; ShotSpotter ID 63-188381; Dot (37.940950035, -122.353096083); Mislocated*",E22,E22,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 1:10,1/1/2019 2:43,"624 17TH ST, ROOSEVELT AVE & PENNSYLVANIA AVE, RICHMOND, CA, 94801",-122.353351,37.940489
,190101071,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 10 Rounds at 2008 Nevin Ave, Richmond, CA; January 1st 2019 01:53:47; ShotSpotter ID 63-188407; Dot (37.9367884798, -122.350229602)",4B12,4B12,1,,No,No,R22,SECURITY CHECK,1/1/2019 1:55,1/1/2019 2:43,"2008 NEVIN AVE, RICHMOND, CA, 94801",-122.350203,37.936709
,190101077,P1,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 2 Rounds at 6TH St, Richmond, CA; January 1st 2019 02:11:10; ShotSpotter ID 63-188415; Dot (37.9332921829, -122.363718443)
POSSIBLE GUNFIRE: 2 Rounds at 6TH St, Richmond, CA; January 1st 2019 02:11:08; ShotSpotter ID 63-188413; Dot (37.9333070607, -122.363722344)",1L6,1L6,1,,No,No,R12,SERVICE RENDERED NO CRIME,1/1/2019 2:12,1/1/2019 2:13,"6TH ST & CHANSLOR AVE, 6TH ST & CHANSLOR AVE (6TH ST & CHANSLOR), RICHMOND, CA, 94801",-122.36373,37.93246
,190101087,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 9 Rounds at 512 41st St, Richmond, CA; January 1st 2019 02:42:03; ShotSpotter ID 63-188432; Dot (37.9363508013, -122.330054145)",1L6,"1L6, S63",2,,No,No,R23,UNABLE TO LOCATE,1/1/2019 2:43,1/1/2019 2:50,"512 41ST ST, BARRETT AVE & ROOSEVELT AVE, RICHMOND, CA, 94805",-122.330002,37.936187
,190101098,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 9 Rounds at 512 41st St, Richmond, CA; January 1st 2019 02:42:03; ShotSpotter ID 63-188432; Dot (37.9363508013, -122.330054145)",1L6,"1L6, 4Z80, G103, SA2",4,,No,No,R23,UNABLE TO LOCATE,1/1/2019 2:59,1/1/2019 3:07,"512 41ST ST, BARRETT AVE & ROOSEVELT AVE, RICHMOND, CA, 94805",-122.330002,37.936187
2019-2000013,190101203,P2,1075 - SHOTS FIRED (JUST OCCURED),,Other,Dispatch Queue,Cleared,RPD,RICHMOND,4,,2L1,2L1,1,,No,No,RTF,REPORT TO FOLLOW,1/1/2019 11:29,1/1/2019 12:01,"1701 ESMOND AVE, RICHMOND, CA, 94801",-122.353642,37.94546
2019-2000015,190101210,P2,1075 - SHOTS FIRED (JUST OCCURED),,Other,Dispatch Queue,Cleared,RPD,RICHMOND,4,,2L1,2L1,1,,No,No,RTF,REPORT TO FOLLOW,1/1/2019 12:02,1/1/2019 13:09,"624 17TH, ROOSEVELT AVE & PENNSYLVANIA AVE, RICHMOND, CA, 94801",-122.353351,37.940489
,190101361,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,CCSO FOUND CASINGS AT THIS 20 WHEN RESPONDING TO A 1075 ACTIVATION.. REQ RPD BE 49.. ,,,0,190101362,No,No,,,1/1/2019 19:47,,"200 SANFORD, YORK ST & FILBERT ST, RICHMOND, CA, 94801",-122.368856,37.951869
,190101388,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,1075   3 ROUNDS   ,3L5,3L5,1,,No,No,R23,UNABLE TO LOCATE,1/1/2019 21:38,1/1/2019 22:09,"681 2ND ST, RICHMOND, CA, 94801",-122.367755,37.94203
,190101389,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"3 ROUNDS .. SHOWING JUST EAST OF THE TRACKS, NW OF THE DEAD END OF 2ND ST ",,,0,190101388,No,No,,,1/1/2019 21:40,,"686 2ND, at RIPLEY AVE, RICHMOND, CA, 94801",-122.367411,37.941993
,190103034,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"1 ROUND
",1L6,1L6,1,,No,No,R10,MISC. EXTRA PATROL,1/3/2019 3:50,1/3/2019 4:00,"4TH ST & CHANSLOR AVE, 4TH ST & CHANSLOR AVE (4TH ST & CHANSLOR), RICHMOND, CA, 94801",-122.365659,37.932455
,190105043,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"ne corner of boorman park 
near the tracks
, single round ",1L3,"1L3, 1L4",2,,No,No,R23,UNABLE TO LOCATE,1/5/2019 2:55,1/5/2019 3:14,"S 25TH ST & MAINE AVE, S 25TH ST & MAINE AVE (S 25TH & MAINE), RICHMOND, CA, 94804",-122.345673,37.927988
,190107359,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 17 Rounds at 2989 Pullman Ave, Richmond, CA; January 7th 2019 20:06:55; ShotSpotter ID 63-189276; Dot (37.9290531199, -122.338633998); Full Auto*
",3L5,"3L17, 3L5, 3L7, S62",4,190107360,No,No,,,1/7/2019 20:08,,"2989 PULLMAN AVE, RICHMOND, CA, 94804",-122.342005,37.928873
2019-2000429,190111038,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,Outside City Limits,OCL,OCL,9 ROUNDS.. SPPD ADV ALSO,1L5,"1L3, 1L5, 1L6, 1L7, 1L9, S56",6,,No,No,RTF,REPORT TO FOLLOW,1/11/2019 2:57,1/11/2019 4:41,"1196 20TH ST, COSTA AVE & SANFORD AVE, SAN PABLO, CA, 94806",-122.350029,37.951007
,190112292,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 7 Rounds at 127 Chanslor Ave, Richmond, CA; January 12th 2019 18:18:46; ShotSpotter ID 63-189603; Dot (37.9326717715, -122.36774608)",3K7,"3K7, 3L1, E25",3,,No,No,R22,SECURITY CHECK,1/12/2019 18:21,1/12/2019 18:34,"127 CHANSLOR, 1ST ST & 2ND ST, RICHMOND, CA, 94801",-122.368406,37.932547
,190112306,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 10 Rounds at 873 8th St, Richmond, CA; January 12th 2019 19:09:03; ShotSpotter ID 63-189614; Dot (37.9458229235, -122.361878269)",3K7,"3K7, S55",2,,No,No,R23,UNABLE TO LOCATE,1/12/2019 19:10,1/12/2019 19:24,"873 8TH ST, RICHMOND, CA, 94801",-122.362054,37.945893
,190112351,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 1 Round at 376 South St, Richmond, CA; January 12th 2019 21:24:59; ShotSpotter ID 63-189621; Dot (37.9267793452, -122.337749933)
",3L2,"1L1, 1L2, 1L3, 3L2, S56",5,,No,No,R23,UNABLE TO LOCATE,1/12/2019 21:26,1/12/2019 21:39,"376 SOUTH ST, RICHMOND, CA, 94804",-122.337643,37.926826
,190112361,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,"GUNFIRE: 4 Rounds at 4TH St, Richmond, CA; January 12th 2019 21:40:59; ShotSpotter ID 63-189622; Dot (37.9361611447, -122.365626114)",1L6,"1L5, 1L6, S56",3,,No,Yes,R23,UNABLE TO LOCATE,1/12/2019 21:45,1/12/2019 22:44,4TH/MACDONALD,,
,190115035,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"POSSIBLE GUNFIRE: 1 Round at 204 Nevin Ave, Richmond, CA; January 15th 2019 02:59:05; ShotSpotter ID 63-189692; Dot (37.9366435142, -122.367475489)",1L6,1L6,1,,No,No,R23,UNABLE TO LOCATE,1/15/2019 3:01,1/15/2019 3:16,"204 NEVIN AVE, 2ND ST & 3RD ST, RICHMOND, CA, 94801",-122.367636,37.936745
,190115404,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,1 round  ,1L4,"1L4, 3K4",2,,No,No,R22,SECURITY CHECK,1/15/2019 21:24,1/15/2019 21:32,"2016 MACDONALD, at 21ST ST, RICHMOND, CA, 94801",-122.350388,37.935615
,190116008,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"3 SHOTS 
",1L3,"1L3, 1L7",2,,No,No,R23,UNABLE TO LOCATE,1/16/2019 0:42,1/16/2019 0:56,"868 S 47TH, RICHMOND, CA, 94804",-122.325942,37.920111
,190116034,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"POSSIBLE GUNFIRE: 1 Round at Pennsylvania Ave, Richmond, CA; January 16th 2019 05:07:40; ShotSpotter ID 63-189714; Dot (37.9437852717, -122.358127479)",1L5,1L5,1,,No,No,R05,SERVICE TO O/S JURISDICTION,1/16/2019 5:24,1/16/2019 5:37,"HARBOUR WAY & PENNSYLVANIA AVE, HARBOUR WAY & PENNSYLVANIA AVE (HARBOUR WAY & PENN), RICHMOND, CA, 94801",-122.359957,37.942098
2019-2000712,190117334,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 1 Round at 705 23rd St, Richmond, CA; January 17th 2019 20:31:44; ShotSpotter ID 63-189829; Dot (37.9422736227, -122.347873383)",3L5,"1L2, 1L4, 1L5, 3L1, 3L2, 3L3, 3L5, 3L7, E23, S55",10,,No,No,R36,EVIDENCE WORK,1/17/2019 20:33,1/17/2019 21:08,"705 23RD, RICHMOND, CA, 94804",-122.347744,37.942276
2019-2000782,190119039,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 10 Rounds at 3109 Andrade Ave, Richmond, CA; January 19th 2019 02:52:56; ShotSpotter ID 63-189909; Dot (37.9478213719, -122.336916413)
",1L7,"1L4, 1L7, S56",3,,No,No,RTF,REPORT TO FOLLOW,1/19/2019 2:54,1/19/2019 3:46,"3109 ANDRADE, 29TH ST & 32ND ST, RICHMOND, CA, 94804",-122.33737,37.947879
2019-2000821,190120020,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 7 Rounds at 637 Ohio Ave, Richmond, CA; January 20th 2019 01:06:23; ShotSpotter ID 63-190005; Dot (37.9309824384, -122.362788248)",1L5,"1L1, 1L2, 1L3, 1L5, 1L7, 1L8, 1L9, 4Z83, E25, S56, S65",11,,No,No,RTF,REPORT TO FOLLOW,1/20/2019 1:07,1/20/2019 6:36,"637 OHIO, S 7TH ST & S 8TH ST, RICHMOND, CA, 94804",-122.362976,37.930917
,190120042,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,"GUNFIRE: 3 Rounds at 100 37th St, Richmond, CA; January 20th 2019 03:09:18; ShotSpotter ID 63-190007; Dot (37.9313697079, -122.332958353)",1L4,"1L4, 1L7",2,,No,Yes,R23,UNABLE TO LOCATE,1/20/2019 3:10,1/20/2019 3:22,S 39TH ST/GREENWAY,,
,190120046,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 5 Rounds at 2513 Maine Ave, Richmond, CA; January 20th 2019 03:33:40; ShotSpotter ID 63-190009; Dot (37.9282873181, -122.345237463); Mislocated*",1L3,"1L3, 1L4",2,,No,No,R23,UNABLE TO LOCATE,1/20/2019 3:35,1/20/2019 3:55,"2513 MAINE AVE, S 25TH ST & S 26TH ST, RICHMOND, CA, 94804",-122.345325,37.928077
,190120047,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,9 rounds ,1L3,"1L3, 1L4, 1L7",3,,No,No,R23,UNABLE TO LOCATE,1/20/2019 3:36,1/20/2019 3:48,"700 JULIGA WOODS ST, at S 34TH ST, RICHMOND, CA, 94804",-122.336849,37.922392
,190120048,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 9 Rounds at 3407 Hoffman Blvd, Richmond, CA; January 20th 2019 03:33:41; ShotSpotter ID 63-190010; Dot (37.9217593584, -122.336400396); Mislocated*",E25,"E25, S56",2,,No,No,R23,UNABLE TO LOCATE,1/20/2019 3:37,1/20/2019 3:51,"3407 HOFFMAN, S 33RD ST & S 34TH ST, RICHMOND, CA, 94804",-122.337201,37.922029
,190124018,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,1075,1L5,"1L1, 1L4, 1L5, 1L7, E23",5,,No,Yes,R22,SECURITY CHECK,1/24/2019 1:09,1/24/2019 1:17,546 17TH ST,,
,190124435,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,Outside City Limits,OCL,OCL,"POSSIBLE GUNFIRE: 4 Rounds at 1014 Chesley Ave, Richmond, CA; January 24th 2019 23:02:37; ShotSpotter ID 63-190272; Dot (37.9547596064, -122.359111069)
",1L4,"1L3, 1L4, 1L5, 3L6",4,,No,No,R23,UNABLE TO LOCATE,1/24/2019 23:04,1/24/2019 23:16,"1014 CHESLEY, at DRIVEWAY, RICHMOND, CA, 94801",-122.359278,37.954655
,190125398,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 3 Rounds at 2431 Emeric Ave, Richmond, CA; January 25th 2019 20:44:15; ShotSpotter ID 63-190324; Dot (37.9536049756, -122.344635161)
",3L4,"1L7, 3L3, 3L4, 3L5, 3L7",5,190125401,No,No,,,1/25/2019 20:46,,"2431 EMERIC AVE, 24TH ST & 25TH ST, RICHMOND, CA, 94806",-122.34516,37.953751
,190125400,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,2ND HAND ..FROM SPPD.. 3 ROUNDS,,,0,190125401,No,No,,,1/25/2019 20:48,,"2431 EMERIC AVE, 24TH ST & 25TH ST, RICHMOND, CA, 94806",-122.34516,37.953751
,190126364,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 2 Rounds at 740 18th St, Richmond, CA; January 26th 2019 20:16:52; ShotSpotter ID 63-190362; Dot (37.9427666625, -122.352079673)",1L4,"1L4, 1L5, 1L6, E25",4,,No,No,R23,UNABLE TO LOCATE,1/26/2019 20:18,1/26/2019 20:37,"740 18TH ST, RICHMOND, CA, 94801",-122.352844,37.943649
,190126409,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 1 Round at 849 10th St, Richmond, CA; January 26th 2019 22:09:42; ShotSpotter ID 63-190371; Dot (37.9453501413, -122.359990667)",3L4,"1L4, 3L4, 3L6",3,,No,No,R23,UNABLE TO LOCATE,1/26/2019 22:11,1/26/2019 22:19,"849 10TH ST, RICHMOND, CA, 94801",-122.360179,37.945344
,190127361,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"POSSIBLE GUNFIRE: 1 Round at 1124 18th St, Richmond, CA; January 27th 2019 21:55:10; ShotSpotter ID 63-190426; Dot (37.9502666706, -122.352013707)",3L4,3L4,1,,No,No,R23,UNABLE TO LOCATE,1/27/2019 21:57,1/27/2019 22:09,"1124 18TH ST, RHEEM AVE & COSTA AVE, RICHMOND, CA, 94806",-122.351963,37.950326
,190127371,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"POSSIBLE GUNFIRE: 1 Round at 3826 Nevin Ave, Richmond, CA; January 27th 2019 22:06:28; ShotSpotter ID 63-190428; Dot (37.9345555565, -122.332476783)",1L7,"1L3, 1L7, E25",3,,No,No,R23,UNABLE TO LOCATE,1/27/2019 22:08,1/27/2019 22:15,"3826 NEVIN AVE, 38TH ST & 39TH ST, RICHMOND, CA, 94805",-122.332863,37.934721
,190129373,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 3 Rounds at 29 6th St, Richmond, CA; January 29th 2019 20:53:41; ShotSpotter ID 63-190534; Dot (37.9322149791, -122.364413178)",3L6,"1L5, 3L6, E22",3,,No,No,R23,UNABLE TO LOCATE,1/29/2019 20:54,1/29/2019 21:12,"29 6TH ST, RICHMOND, CA, 94801",-122.363863,37.931634
,190130040,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"
3  ROUNDS  
",1L1,"1L1, 1L2, S63",3,,No,No,R23,UNABLE TO LOCATE,1/30/2019 3:02,1/30/2019 3:11,"CUTTING BLVD & S 28TH ST, CUTTING BLVD & S 28TH ST (CUTTING & S 28TH ST), RICHMOND, CA, 94804",-122.342452,37.925137
,190201393,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 11 Rounds at 707 14th St, Richmond, CA; February 1st 2019 23:20:55; ShotSpotter ID 63-190611; Dot (37.9423988442, -122.35670207)",1L5,"1L5, 3K3, 3L4, 3L5, 3L6, S56",6,,No,No,R23,UNABLE TO LOCATE,2/1/2019 23:22,2/1/2019 23:35,"707 14TH ST, PENNSYLVANIA AVE & BURBECK AVE, RICHMOND, CA, 94801",-122.356531,37.942161
,190202007,P2,1075 - SHOTS FIRED (JUST OCCURED),,Other,Dispatch Queue,Cleared,RPD,RICHMOND,4,,1L4,"1L3, 1L4, S56",3,,No,No,R23,UNABLE TO LOCATE,2/2/2019 0:16,2/2/2019 0:35,"707 14TH ST, PENNSYLVANIA AVE & BURBECK AVE, RICHMOND, CA, 94801",-122.356531,37.942161
2019-2001470,190203005,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 10 Rounds at 3400 Mc Bryde Ave, Richmond, CA; February 3rd 2019 00:24:47; ShotSpotter ID 63-190638; Dot (37.9469912491, -122.33446575)",1L7,"1L1, 1L4, 1L6, 1L7, 3L17, S56",6,,No,No,R14,HOSP. NON INDUST/INDUSTRIAL,2/3/2019 0:26,2/3/2019 0:34,"3400 MCBRYDE, 34TH ST & 35TH ST, RICHMOND, CA, 94805",-122.334567,37.946964
,190206401,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 3 Rounds at 66 Garrard Blvd, Richmond, CA; February 6th 2019 21:43:03; ShotSpotter ID 63-190803; Dot (37.9318723561, -122.374364512)",1L6,"1L1, 1L5, 1L6, 3L2, T51",5,,No,No,R23,UNABLE TO LOCATE,2/6/2019 21:45,2/6/2019 21:58,"66 GARRARD BLVD, RICHMOND, CA, 94801",-122.374358,37.932378
