Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
,181231274,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 10 Rounds at 2918 Rheem Ave, Richmond, CA; December 31st 2018 20:14:22; ShotSpotter ID 63-187555; Dot (37.9495643924, -122.338337701)",F42,"3L5, 3L7, F42",3,,No,No,R23,UNABLE TO LOCATE,12/31/2018 20:17,12/31/2018 20:58,"2918 RHEEM, 29TH ST & 32ND ST, RICHMOND, CA, 94804",-122.338692,37.949771
,181231279,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,1 SHOT ,H56,"3L5, H56",2,,No,No,R23,UNABLE TO LOCATE,12/31/2018 20:44,12/31/2018 21:09,"334 GERTRUDE AVE, FILBERT ST & KELSEY ST, RICHMOND, CA, 94801",-122.366622,37.95396
,181231285,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"1 ROUND .. NO CALLS
",F42,"3L5, 3L6, F42",3,,No,No,R23,UNABLE TO LOCATE,12/31/2018 20:57,12/31/2018 21:09,"526 20TH ST, BARRETT AVE & ROOSEVELT AVE, RICHMOND, CA, 94801",-122.350408,37.93886
,181231286,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,"GUNFIRE: 6 Rounds at 253 4th S St, Richmond, CA; December 31st 2018 20:54:40; ShotSpotter ID 63-187638; Dot (37.928445543, -122.3661219)
",3L6,"3L5, 3L6",2,,No,Yes,R23,UNABLE TO LOCATE,12/31/2018 20:57,12/31/2018 21:13,253 S 4TH ST,,
2018-2015287,181231301,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,12 ROUNDS,F42,"1L7, 3K4, 3L5, 3L7, F42, SA2",6,,No,No,RTF,REPORT TO FOLLOW,12/31/2018 21:36,1/1/2019 3:24,"2910 RHEEM, RICHMOND, CA, 94804",-122.338481,37.949655
,181231314,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,6  ROUNDS  ON THE  ROOF  OF  FRONT  DOOR  OF  THIS  1020  S52  COPY'S  ,H56,H56,1,,No,No,R23,UNABLE TO LOCATE,12/31/2018 22:01,12/31/2018 22:10,"239 SANFORD, YORK ST & FILBERT ST, RICHMOND, CA, 94801",-122.368111,37.95205
,181231316,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"2  ROUNDS   ON THE  ROOF  S52  COPIES  
",F102,"1L1, F102",2,,No,No,R23,UNABLE TO LOCATE,12/31/2018 22:08,12/31/2018 22:22,"1613 BISSELL, 16TH ST & 17TH ST, RICHMOND, CA, 94801",-122.354145,37.934169
,181231321,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 4 Rounds at 25TH St, Richmond, CA; December 31st 2018 22:12:18; ShotSpotter ID 63-187837; Dot (37.9285456555, -122.345154006)",1L1,"1L1, 1L2, 1L3",3,,No,No,R12,SERVICE RENDERED NO CRIME,12/31/2018 22:23,12/31/2018 22:34,"MAINE AVE & S 25TH ST, MAINE AVE & S 25TH ST, RICHMOND, CA, 94804",-122.345673,37.927988
,181231348,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 9 Rounds at 1701 Esmond Ave, Richmond, CA; December 31st 2018 23:25:55; ShotSpotter ID 63-188022; Dot (37.9455720171, -122.353644559)",,,0,181231350,No,No,,,12/31/2018 23:27,,"1701 ESMOND AVE, RICHMOND, CA, 94801",-122.353642,37.94546
,181231350,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"9 ROUNDS 
",4B101,4B101,1,,No,No,R22,SECURITY CHECK,12/31/2018 23:30,1/1/2019 2:42,"1701 ESMOND AVE, RICHMOND, CA, 94801",-122.353642,37.94546
