Type,Respond ID,Date,Time,Address,Zone,Rounds,CAD ID,Beat,District,Latitude,Longitude
Multiple Gunshots,99-173824,12/14/19,17:29:20,"2700 16th St, San Pablo, CA 94806",SanPabloCA,4,19-37805,1,,37.97022385,-122.348738
Multiple Gunshots,99-173605,12/13/19,19:29:17,"3 Lake St, San Pablo, CA 94806",SanPabloCA,6,19-37722,1,,37.97251986,-122.3531354
Multiple Gunshots,99-173493,12/11/19,19:27:14,"2789 14th St, San Pablo, CA 94806",SanPabloCA,8,19-37520,1,,37.9718335,-122.3504473
Probable Gunfire,99-173452,12/10/19,0:06:00,"1305 23rd St, San Pablo, CA 94806",SanPabloCA,1,19-37332,3,,37.95279014,-122.3477184
Single Gunshot,99-173440,12/9/19,20:10:27,"1405 Rumrill Blvd, San Pablo, CA 94806",SanPabloCA,1,19-37319,3,,37.95377542,-122.3571801
Single Gunshot,99-173409,12/8/19,23:47:09,"1925 Dodson St, San Pablo, CA 94806",SanPabloCA,1,19-37244,3,,37.9578454,-122.3423249
Probable Gunfire,99-173256,12/8/19,2:35:05,"2061 23rd St, San Pablo, CA 94806",SanPabloCA,1,S19-5711,3,,37.96103924,-122.347136
Single Gunshot,99-173215,12/7/19,1:51:16,"2526 San Pablo Dam Rd, San Pablo, CA 94806",SanPabloCA,1,19-37082,2,,37.95508656,-122.3302228
Multiple Gunshots,99-173195,12/6/19,2:46:14,"2645 Church Ln, San Pablo, CA 94806",SanPabloCA,6,,1,,37.96208825,-122.3365344
Single Gunshot,99-173155,12/3/19,23:29:05,"1883 Rumrill Blvd, Richmond, CA 94806",SanPabloCA,1,19-36810,3,,37.96077817,-122.3574935
Probable Gunfire,99-173139,12/3/19,13:35:11,"1854 Van Ness St, San Pablo, CA 94806",SanPabloCA,1,19-36761,3,,37.95727051,-122.3444484
Single Gunshot,99-173088,12/1/19,9:54:55,"1339 Pine Ave, San Pablo, CA 94806",SanPabloCA,1,119-36606,3,,37.9551774,-122.355818
