Type,"Respond ID",Date,Time,Address,Zone,Rounds,"CAD ID",Beat,District,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Multiple Gunshots",661-161569,12/31/20,1:32:36,"300 blk S Owens St, Bakersfield, CA 93307",BakersfieldCA,4,20-239538,BP327,Metro,35.359512,-118.991103,1,rooftop,300,"S Owens St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-161199,12/30/20,3:21:15,"3800 blk Chester Ave, Bakersfield, CA 93301",BakersfieldCA,1,20-238980,,Hill,35.394171,-119.018716,1,range_interpolation,3800,"Chester Ave",,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-161183,12/30/20,2:08:20,"1300 blk Gorrill St, Bakersfield, CA 93307",BakersfieldCA,1,20-238969,BP326,Metro,35.364214,-118.988396,1,rooftop,1300,"Gorrill St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-161116,12/29/20,22:57:34,"200 blk S Haley St, Bakersfield, CA 93307",BakersfieldCA,2,20-238916,BP332,Metro,35.358946,-118.98398,1,range_interpolation,200,"S Haley St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-161091,12/29/20,22:00:32,"100 blk Clifton St, Bakersfield, CA 93307",BakersfieldCA,5,20-238885,BP327,Metro,35.355956,-118.986686,1,rooftop,100,"Clifton St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-161090,12/29/20,22:00:17,"140 blk Clifton St, Bakersfield, CA 93307",BakersfieldCA,8,20-238885,BP327,Metro,35.356515,-118.986522,1,range_interpolation,140,"Clifton St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-160656,12/28/20,22:34:41,"900 blk Q St, Bakersfield, CA 93304",BakersfieldCA,2,20-238295,BP234,Metro,35.365375,-119.010676,1,range_interpolation,900,"Q St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-160586,12/28/20,18:56:44,"800 blk 33rd St, Bakersfield, CA 93301",BakersfieldCA,17,20-238206,,Hill,35.38899,-119.010539,1,range_interpolation,800,"33rd St",,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-160254,12/27/20,20:22:47,"500 blk H St, Bakersfield, CA 93304",BakersfieldCA,4,20-237642,BP225,Metro,35.362081,-119.020921,1,rooftop,500,"H St",,,Bakersfield,CA,"Kern County",93304,US,"Kern (Kern County)"
"Single Gunshot",661-160253,12/27/20,20:22:37,"500 blk H St, Bakersfield, CA 93304",BakersfieldCA,1,20-237642,BP225,Metro,35.362081,-119.020921,1,rooftop,500,"H St",,,Bakersfield,CA,"Kern County",93304,US,"Kern (Kern County)"
"Multiple Gunshots",661-160221,12/27/20,19:15:15,"1300 blk Niles St, Bakersfield, CA 93305",BakersfieldCA,25,20-237606,BP304,Metro,35.379925,-118.981584,1,rooftop,1300,"Niles St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Multiple Gunshots",661-160103,12/27/20,16:37:23,"700 blk E 11th St, Bakersfield, CA 93307",BakersfieldCA,23,20-237542,BP321,Metro,35.367628,-118.995911,1,range_interpolation,700,"E 11th St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-160096,12/27/20,16:19:55,"200 blk Chester Ave, Bakersfield, CA 93301",BakersfieldCA,6,20-237534,BP232,Metro,35.35725,-119.018537,1,rooftop,200,"Chester Ave",,,Bakersfield,CA,"Kern County",93301,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-159944,12/27/20,4:15:11,"100 blk S Union Ave, Bakersfield, CA 93304",BakersfieldCA,1,20-237285,BP236,Valley,35.356935,-119.002833,0.95,range_interpolation,100,"Union Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-159903,12/27/20,1:41:33,"500 blk Monterey St, Bakersfield, CA 93305",BakersfieldCA,11,20-237248,BP300,Metro,35.381766,-118.994238,1,rooftop,500,"Monterey St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Single Gunshot",661-159899,12/27/20,1:29:36,"1100 blk Oregon St, Bakersfield, CA 93305",BakersfieldCA,1,20-237240,BP303,Metro,35.381715,-118.984218,1,rooftop,1100,"Oregon St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-159870,12/27/20,0:18:28,"20 blk T St, Bakersfield, CA 93304",BakersfieldCA,4,20-237213,BP235,Metro,35.35412,-119.008357,1,range_interpolation,20,"T St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-159809,12/26/20,21:42:08,"500 blk E 9th St, Bakersfield, CA 93307",BakersfieldCA,1,237126,BP321,Metro,35.365717,-118.998243,1,range_interpolation,500,"E 9th St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-159702,12/26/20,19:19:03,"800 blk 34th St, Bakersfield, CA 93301",BakersfieldCA,1,20-237062,,Hill,35.39082,-119.010969,1,rooftop,800,"34th St",,,Bakersfield,CA,"Kern County",93301,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-159474,12/26/20,12:18:01,"1000 blk Tulare St, Bakersfield, CA 93305",BakersfieldCA,1,20-236858,BP300,Metro,35.379747,-118.995273,1,range_interpolation,1000,"Tulare St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-159389,12/26/20,4:31:18,"300 blk S Haley St, Bakersfield, CA 93307",BakersfieldCA,3,20-236717,BP332,Metro,35.360027,-118.984125,1,range_interpolation,300,"S Haley St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-159374,12/26/20,2:53:22,"100 blk W Sumner St, Bakersfield, CA 93305",BakersfieldCA,5,20-236702,BP301,Metro,35.380099,-119.002458,1,range_interpolation,100,"Sumner St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
