address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"244 16th S St",Richmond,CA,37.93475,-122.354109,1,range_interpolation,244,"16th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"2133 Napa St",Richmond,CA,37.905496,-122.315355,1,rooftop,2133,"Napa St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1230 29th St",Richmond,CA,37.951808,-122.338641,1,rooftop,1230,"29th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1534 Nevin Plz",Richmond,CA,37.936691,-122.354457,1,rooftop,1534,"Nevin Plz",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"442 3rd St",Richmond,CA,37.937709,-122.366386,1,rooftop,442,"3rd St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1344 Battery St",Richmond,CA,37.952779,-122.370432,1,rooftop,1344,"Battery St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2999 San Pablo Dam Rd",Richmond,CA,37.958662,-122.329963,0.8,rooftop,2999,"San Pablo Dam Rd",,,"San Pablo",CA,"Contra Costa County",94803,US,"Contra Costa County"
"3510 Nevin Ave",Richmond,CA,37.934989,-122.335513,1,rooftop,3510,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1034 15th St",Richmond,CA,37.948342,-122.355378,1,rooftop,1034,"15th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1423 Hellings Ave",Richmond,CA,37.948342,-122.35577,1,rooftop,1423,"Hellings Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3120 Wilart Dr",Richmond,CA,37.967287,-122.322543,0.9,rooftop,3120,"Wilart Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"339 Chanslor Ave",Richmond,CA,37.932694,-122.365805,1,rooftop,339,"Chanslor Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"SOTO St",Richmond,CA,37.959034,-122.360018,1,street_center,,"Soto St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"2118 Rheem Ave",Richmond,CA,37.949323,-122.348758,1,rooftop,2118,"Rheem Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
